시도명,시군구명,자치단체코드,과세년도,세목명,체납액구간,체납건수,체납금액,누적체납건수,누적체납금액
경상남도,거창군,48880,2019,취득세,1천만원~3천만원미만,2,36617111,4,66417331
경상남도,거창군,48880,2020,등록면허세,10만원 미만,133,2011520,273,3591280
경상남도,거창군,48880,2020,자동차세,10만원 미만,522,23150230,1302,59625090
경상남도,거창군,48880,2020,자동차세,10만원~30만원미만,351,60123010,1055,177773800
경상남도,거창군,48880,2020,자동차세,30만원~50만원미만,19,6458670,53,17856680
경상남도,거창군,48880,2020,자동차세,50만원~1백만원미만,1,520020,3,1620930
경상남도,거창군,48880,2020,재산세,10만원 미만,2065,39311580,4416,74397590
경상남도,거창군,48880,2020,재산세,10만원~30만원미만,234,37493280,369,61198590
경상남도,거창군,48880,2020,재산세,1백만원~3백만원미만,13,19708280,25,40223870
경상남도,거창군,48880,2020,재산세,30만원~50만원미만,27,9854480,35,13051130
경상남도,거창군,48880,2020,재산세,3백만원~5백만원미만,1,4342900,3,11047060
경상남도,거창군,48880,2020,재산세,50만원~1백만원미만,19,13697380,36,26001960
경상남도,거창군,48880,2020,재산세,5백만원~1천만원미만,3,19108550,5,34369350
경상남도,거창군,48880,2020,주민세,10만원 미만,1442,24495410,3320,52962280
경상남도,거창군,48880,2020,주민세,10만원~30만원미만,4,814370,7,1206800
경상남도,거창군,48880,2020,주민세,30만원~50만원미만,2,723790,3,1134500
경상남도,거창군,48880,2020,주민세,50만원~1백만원미만,2,1291940,5,3689850
경상남도,거창군,48880,2020,지방소득세,10만원 미만,112,3546630,199,6588430
경상남도,거창군,48880,2020,지방소득세,10만원~30만원미만,25,4384360,55,10126970
경상남도,거창군,48880,2020,지방소득세,1백만원~3백만원미만,13,20557250,38,70238480
경상남도,거창군,48880,2020,지방소득세,1천만원~3천만원미만,5,92594940,8,133754050
경상남도,거창군,48880,2020,지방소득세,30만원~50만원미만,16,6360330,27,10807940
경상남도,거창군,48880,2020,지방소득세,3백만원~5백만원미만,5,18726710,15,54595240
경상남도,거창군,48880,2020,지방소득세,50만원~1백만원미만,14,9613830,36,26123770
경상남도,거창군,48880,2020,지방소득세,5백만원~1천만원미만,7,50344750,9,65792470
경상남도,거창군,48880,2020,지역자원시설세,10만원 미만,1,28420,8,243720
경상남도,거창군,48880,2020,취득세,10만원 미만,3,70640,8,356720
경상남도,거창군,48880,2020,취득세,1백만원~3백만원미만,13,23650720,13,23650720
경상남도,거창군,48880,2020,취득세,30만원~50만원미만,1,452320,2,859540
경상남도,거창군,48880,2020,취득세,3백만원~5백만원미만,3,11159500,3,11159500
경상남도,거창군,48880,2020,취득세,50만원~1백만원미만,8,6266990,8,6266990
경상남도,거창군,48880,2020,취득세,5백만원~1천만원미만,1,5719650,2,12953900
경상남도,거창군,48880,2021,등록면허세,10만원 미만,118,1792160,278,3853800
경상남도,거창군,48880,2021,자동차세,10만원 미만,511,21059500,1183,50927740
경상남도,거창군,48880,2021,자동차세,10만원~30만원미만,292,50069590,955,159778090
경상남도,거창군,48880,2021,자동차세,30만원~50만원미만,18,6119480,67,22114850
경상남도,거창군,48880,2021,재산세,10만원 미만,1802,37841410,4341,76149350
경상남도,거창군,48880,2021,재산세,10만원~30만원미만,208,34105180,372,61263830
경상남도,거창군,48880,2021,재산세,1백만원~3백만원미만,22,37571360,37,65772740
경상남도,거창군,48880,2021,재산세,30만원~50만원미만,25,9432240,44,16691630
경상남도,거창군,48880,2021,재산세,3백만원~5백만원미만,3,11822140,5,18974520
경상남도,거창군,48880,2021,재산세,50만원~1백만원미만,25,18050150,36,25982470
경상남도,거창군,48880,2021,재산세,5백만원~1천만원미만,2,16947530,4,32162280
경상남도,거창군,48880,2021,주민세,10만원 미만,1444,19543630,3138,45626090
경상남도,거창군,48880,2021,주민세,10만원~30만원미만,3,637100,7,1588400
경상남도,거창군,48880,2021,주민세,1백만원~3백만원미만,1,1151690,11,23623500
경상남도,거창군,48880,2021,주민세,30만원~50만원미만,4,1654040,7,2882500
경상남도,거창군,48880,2021,지방소득세,10만원 미만,114,3318680,194,5874690
경상남도,거창군,48880,2021,지방소득세,10만원~30만원미만,41,7296230,78,14006560
경상남도,거창군,48880,2021,지방소득세,1백만원~3백만원미만,21,38165020,43,77949170
경상남도,거창군,48880,2021,지방소득세,1천만원~3천만원미만,3,46699730,11,180951620
경상남도,거창군,48880,2021,지방소득세,30만원~50만원미만,17,6873940,27,11190730
경상남도,거창군,48880,2021,지방소득세,3백만원~5백만원미만,2,6679680,19,68926100
경상남도,거창군,48880,2021,지방소득세,50만원~1백만원미만,11,8591600,36,28055880
경상남도,거창군,48880,2021,지방소득세,5백만원~1천만원미만,6,43804730,11,82697400
경상남도,거창군,48880,2021,지역자원시설세,10만원 미만,2,53010,9,268310
경상남도,거창군,48880,2021,취득세,10만원 미만,6,187320,8,285170
